Site ID,Location Description,Speed Limit,Reason Code(s),Latitude,Longitude,Geo Location
4114,EB 76 Ave btwn 106 - 105 St,30,(f),53.51227347,-113.50245064,"(53.51227346902059, -113.50245064070845)"
2452,EB 144 Avenue between 79 - 77 Street,50,(h),53.60684951,-113.46181682,"(53.60684951102464, -113.46181682352339)"
4182,SB 106 St Btwn 60A - 56 Ave,30,(f),53.49477751,-113.50440225,"(53.494777511750634, -113.50440225299741)"
7063,NB Groat Rd btwn Victoria Pk Rd-S of 107 Ave,50,"(c), (h)",53.54528298,-113.54246556,"(53.54528298234105, -113.54246556250447)"
4131,NB 127 St Btwn 115 - N of 116 ave,30,(f),53.56640356,-113.54118385,"(53.56640356243758, -113.54118385049571)"
7219,SB 104 St Btwn University Ave - 73 Ave,50,"(c), (f)",53.51046708,-113.49767042,"(53.51046707513396, -113.49767041713068)"
2586,WB 41 Ave between 92 - 97 St,50,"(c), (h)",53.47647554,-113.47479609,"(53.4764755440686, -113.4747960912959)"
7126,EB Anthony Henday Dr at Whitemud Creek,100,"(a), (b), (c)",53.42846192,-113.56271376,"(53.428461920221025, -113.56271375509876)"
7006,NB Anth. Henday Dr. south of N. Sask River,100,(a),53.45697847,-113.61071730,"(53.45697846602743, -113.61071730155143)"
4115,NB 76 St btwn 38 Ave south of 40 Ave,30,(f),53.47490073,-113.45032620,"(53.47490073163009, -113.45032619518419)"
2795,NB 159 St between Whitemud Dr - 87 Ave,60,"(c), (h)",53.51546680,-113.59670603,"(53.515466801654995, -113.59670602603825)"
2528,EB 51 Ave between 122 - 116 St,50,(h),53.48823317,-113.53622219,"(53.488233168359486, -113.53622219056896)"
2538,NB 163 St between 89 - 93 Ave,50,"(b), (h)",53.52604812,-113.60277075,"(53.52604811879211, -113.60277075053138)"
2469,EB 132 Ave between 123 - 121 St,50,"(b), (h)",53.59216642,-113.53195635,"(53.59216641826184, -113.53195634956019)"
7192,WB Whitemud Dr between North Sask River - 149 St,80,(h),53.51093366,-113.56929740,"(53.51093365865445, -113.56929739675176)"
2619,NB 50 St between 102 - 104A Ave,50,"(c), (h)",53.54501754,-113.41842687,"(53.5450175423112, -113.41842687433348)"
7076,WB Yellowhead Tr at 9320 Yellowhead Tr,70,"(b), (c)",53.58137330,-113.48421031,"(53.581373304736864, -113.48421030859586)"
2610,NB 75 St between 92A - 94B Ave,60,(h),53.53004509,-113.44289010,"(53.53004508591621, -113.44289009860144)"
2704,EB 101 Ave between 70 - 67 St,50,"(a), (h)",53.54119252,-113.43382707,"(53.541192515393895, -113.43382706521898)"
2792,WB Stony Plain Rd Between 180 - 182 St,60,(c),53.54136818,-113.63451136,"(53.541368180568206, -113.63451135724812)"
4234,EB 110 Ave Btwn 161 - 159 St,30,(f),53.55604253,-113.59660720,"(53.55604252691969, -113.59660720169386)"
2563,WB 39 Ave between 93 - 97 St,50,"(b), (c)",53.47411071,-113.47638952,"(53.4741107063277, -113.47638952136572)"
7202,SB 127 St between 137 - 135 Ave,50,(b),53.59764896,-113.54117598,"(53.597648960168605, -113.54117598485918)"
2552,SB 106 St between 48 - 45 Ave,50,(c),53.48475897,-113.50440690,"(53.4847589744677, -113.50440690174523)"
2585,EB 41 Ave between 97 - 92 St,50,"(c), (h)",53.47647554,-113.47479609,"(53.4764755440686, -113.4747960912959)"
4188,NB 91 St Btwn 86 Ave - S of 88 Ave,30,(f),53.52255780,-113.46744056,"(53.522557800494795, -113.46744056333924)"
4235,WB 110 Ave Btwn 159-161 St,30,(f),53.55604253,-113.59660720,"(53.55604252691969, -113.59660720169386)"
4054,SB 106 St btwn 42 - 40 Ave,30,(f),53.47654717,-113.50444638,"(53.476547167667015, -113.50444637510853)"
7117,NB 170 St between 109 - 110 Ave,60,"(b), (c)",53.55689727,-113.61519067,"(53.55689726799364, -113.61519066743405)"
2590,NB 170 St between 114 - 117 Ave,60,(c),53.56526115,-113.61518701,"(53.56526115090664, -113.61518701100087)"
4056,SB 106 St btwn 40 - 36A Ave,30,(f),53.47357915,-113.50435933,"(53.473579151892565, -113.50435933106311)"
4116,SB 76 St btwn south of 40 Ave - 38 Ave,30,(f),53.47490073,-113.45032620,"(53.47490073163009, -113.45032619518419)"
4013,WB 132 Ave btwn 86 - 88 St,30,(f),53.59217056,-113.47441624,"(53.592170557812096, -113.47441623600164)"
387,SB 104 St Between Univ. Ave. - 73 Ave.,50,"(f), (h)",53.51046708,-113.49767042,"(53.51046707513396, -113.49767041713068)"
4029,NB Riverbend Rd btwn 53 - 56 Ave,30,(f),53.49210899,-113.57825364,"(53.49210899346551, -113.57825364289299)"
2543,EB 82 Ave between 89 - 87 St,50,(c),53.51802663,-113.46439597,"(53.518026625881376, -113.4643959671418)"
2748,SB 50 St between 124 - 122 Ave,50,(h),53.57833203,-113.41837579,"(53.578332030686326, -113.4183757852499)"
2766,SB Fort Rd between 131 - 128 Ave,50,"(c), (h)",53.58818774,-113.43641161,"(53.58818773695967, -113.43641161291976)"
2554,WB Millwoods Rd S between 69 St - Knottwood Rd E,50,(h),53.44587661,-113.44122934,"(53.44587661154958, -113.441229339086)"
7021,SB Anth. Henday Dr. -South of North Sask. River,100,(a),53.45663746,-113.61099305,"(53.45663745650378, -113.61099305225555)"
2671,SB 163 St between 93 - 92 Ave,50,"(b), (f), (h)",53.52753902,-113.60274611,"(53.527539024108236, -113.60274610892697)"
7139,WB Anthony Henday Dr at 111 St,100,(a),53.43489553,-113.52139163,"(53.43489553409464, -113.52139163128629)"
2767,EB Buena Vista Rd between 142 - 138 St,50,(h),53.51932472,-113.56262846,"(53.519324723843766, -113.56262845940637)"
4189,SB 91 St S of 88 - 86 Ave,30,(f),53.52255780,-113.46744056,"(53.522557800494795, -113.46744056333924)"
4120,WB 132 Ave E of 69 - 72 St,30,(f),53.59226373,-113.44996868,"(53.59226373455659, -113.44996868458652)"
4147,EB 132 Ave Btwn 113A - E of 109 St,30,(f),53.59212146,-113.51206262,"(53.592121460358854, -113.5120626185371)"
2781,NB 149 St. Between 80 - 84 Ave,60,(h),53.51582617,-113.57789933,"(53.51582616874022, -113.57789932650225)"
2620,SB 50 St between Fulton Rd - 101A Ave,50,"(c), (h)",53.54501797,-113.41870308,"(53.545017973609056, -113.41870307708544)"
7136,EB Anthony Henday Dr at 91 St,100,"(a), (b), (c)",53.43715632,-113.46470535,"(53.437156315235356, -113.46470534793718)"
4141,EB Hermitage Rd Btwn Huffman Cres - Hunt Rd,30,(f),53.58067862,-113.38931153,"(53.58067861644077, -113.38931152886339)"
4053,NB 106 St btwn 40 - 42 Ave,30,(f),53.47641338,-113.50431062,"(53.47641338210834, -113.50431062193952)"
2506,EB 118 Ave between 56 - 54 St,50,"(a), (h)",53.57036075,-113.42612185,"(53.57036074808705, -113.42612184514128)"
2504,EB 82 Ave between 98 - 97 St,50,(h),53.51798617,-113.48125345,"(53.517986170998206, -113.48125344685324)"
4097,WB 144 Ave btwn 69 - 74 St,30,(f),53.60580695,-113.45042454,"(53.605806951585, -113.45042453558332)"
7221,SB St Albert Tr between 134 - 132 Ave,60,"(a), (c)",53.59348307,-113.56879549,"(53.593483072034445, -113.56879548728857)"
2675,NB 105 St between Rossdale Rd - 97 Ave,50,(h),53.53232118,-113.50108529,"(53.53232118443758, -113.50108529241163)"
4014,EB 132 Ave btwn 88 - 86 St,30,(f),53.59217056,-113.47441624,"(53.592170557812096, -113.47441623600164)"
7220,SB Sask Dr between 87 - University Ave,50,"(c), (h)",53.52091006,-113.53885643,"(53.52091006427994, -113.53885642860251)"
7137,WB Anthony Henday Dr at 91 St,100,"(a), (b), (c)",53.43761752,-113.46784758,"(53.4376175175259, -113.46784758349679)"
7064,SB Groat Rd btwn S of 107 Ave-Victoria Pk Rd,50,"(b), (c), (h)",53.54560465,-113.54278674,"(53.545604650721856, -113.54278674412059)"
7044,EB Yellowhead Tr at 215 St,100,"(a), (b), (c)",53.57004750,-113.68955622,"(53.57004750075467, -113.68955622353262)"
2768,WB Buena Vista Rd between 138 - 142 St,50,(h),53.51939604,-113.56257128,"(53.519396036768505, -113.56257127611673)"
2562,EB 39 Ave between 97 - 93 St,50,"(b), (c)",53.47411071,-113.47638952,"(53.4741107063277, -113.47638952136572)"
2478,WB 76 Ave between 85 - 87 St,40,"(a), (h)",53.51229132,-113.45951129,"(53.512291320006966, -113.45951128999904)"
2626,NB 189 St between 59 Ave - Callingwood Rd,50,(h),53.49413379,-113.65135029,"(53.494133793740524, -113.65135028704648)"
7119,WB Whitemud Dr between 170 - 178 St,80,(a),53.51219147,-113.62254289,"(53.51219146658244, -113.62254289092554)"
2627,SB 189 St between Callingwood Rd - 59 Ave,50,(h),53.49413379,-113.65135029,"(53.494133793740524, -113.65135028704648)"
2734,EB 137 Ave between 63 - 61 St,60,(h),53.59947642,-113.43701255,"(53.59947641957803, -113.43701254981437)"
4193,EB 40 Ave Btwn 119 - 115 A St,30,(f),53.47627954,-113.53524097,"(53.476279539661796, -113.53524096589928)"
4201,EB 95 Ave Btwn 90 - 87 St,30,(f),53.53175609,-113.46311902,"(53.5317560937627, -113.46311902452031)"
4230,EB 144 Ave Btwn 62 - 57 Street,30,(f),53.60551225,-113.43324387,"(53.60551225162008, -113.43324386908137)"
4002,WB Delwood Rd btwn 73 St - 134B Ave,30,(f),53.59681869,-113.45765336,"(53.59681868943947, -113.45765336446044)"
2511,WB 142 Ave between 122 - 127 St,50,(h),53.60418437,-113.53633364,"(53.6041843654235, -113.53633363870644)"
2510,EB 142 Ave between 127 - 122 St,50,(h),53.60418437,-113.53633364,"(53.6041843654235, -113.53633363870644)"
4140,WB Hermitage Rd Btwn Hunt Rd - Huffman Cres,30,(f),53.58083891,-113.38926437,"(53.5808389123105, -113.38926436806943)"
2519,NB 109 St between 108 - 110 Ave,50,"(a), (b), (f), (h)",53.55481009,-113.50833799,"(53.55481008609096, -113.5083379870136)"
4055,NB 106 St btwn 36A - 40 Ave,30,(f),53.47360028,-113.50414840,"(53.47360028471193, -113.50414839705496)"
4027,WB 43 Ave W of 111 - 114 St,30,(f),53.47868681,-113.52102640,"(53.478686810664925, -113.52102639946234)"
4018,EB 132 Ave btwn 137 - 135 St,30,(f),53.59262311,-113.55497982,"(53.592623106852706, -113.55497981514613)"
4121,WB 132 Ave btwn 72 - W of 76 St,30,(f),53.59224183,-113.45567120,"(53.59224183366425, -113.45567119624538)"
316,WB Whitemud Dr. at 111 St,80,(a),53.48291678,-113.51717104,"(53.482916781777305, -113.51717103788715)"
4030,SB Riverbend Rd btwn 56 - 53  Ave,30,(f),53.49209992,-113.57825354,"(53.49209991758165, -113.57825353692337)"
4098,EB 144 Ave btwn 74 - 69 St,30,(f),53.60567093,-113.45047790,"(53.605670934200056, -113.450477901203)"
302,EB Whitemud Dr. at Rainbow Valley Bridge,80,(a),53.48244191,-113.55484227,"(53.48244191480881, -113.55484226619923)"
4146,WB 132 Ave E of 109 - 113A St,30,(f),53.59212146,-113.51206262,"(53.592121460358854, -113.5120626185371)"
4128,SB 156 St Between 84 - North of 81 Ave,30,(f),53.51626415,-113.59034063,"(53.51626415127578, -113.59034063255316)"
4192,WB 40 Ave Btwn 115 A - 119 St,30,(f),53.47639220,-113.53521476,"(53.47639219894289, -113.53521476088493)"
301,WB Whitemud Dr. at Rainbow Valley Bridge,80,(a),53.48260935,-113.55484121,"(53.48260934952588, -113.55484121000502)"
2756,WB 82 Ave between 91 - 95A St,50,"(c), (h)",53.51807394,-113.47154945,"(53.51807393531409, -113.47154944910467)"
4127,NB 156 St N of 81 - 84 Ave,30,(f),53.51626415,-113.59034063,"(53.51626415127578, -113.59034063255316)"
